#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
TRINITY_DN2211_c0_g1_i6	1	5427	74	1296	23.8806	1.83029	37.6	0
TRINITY_DN2211_c0_g1_i7	1	5439	63	1551	28.5163	1.54311	37.3	56.7
TRINITY_DN2211_c0_g1_i1	1	1183	13	217	18.3432	0.986475	37.3	0
TRINITY_DN2240_c0_g1_i4	1	3262	285	1675	51.3489	12.7817	38	101
TRINITY_DN2240_c0_g1_i10	1	3163	313	1976	62.4723	14.6051	38.3	134
TRINITY_DN2246_c1_g1_i4	1	2815	572	2309	82.0249	29.5218	37.8	255
TRINITY_DN2257_c0_g1_i1	1	2722	709	2095	76.9655	38.1848	37.9	255
TRINITY_DN2292_c0_g1_i5	1	2640	38	433	16.4015	2.05644	38	228
TRINITY_DN2292_c0_g1_i2	1	2640	10	316	11.9697	0.438636	37.3	0
TRINITY_DN2223_c0_g1_i1	1	1766	293	604	34.2016	5.953	35.8	60.9
TRINITY_DN33004_c0_g1_i1	1	245	56	245	100	33.5469	38.6	255
TRINITY_DN4635_c0_g1_i5	1	1638	366	1163	71.0012	32.7705	38.1	255
TRINITY_DN4019_c0_g1_i3	1	3436	125	1130	32.8871	4.13359	37.1	247
TRINITY_DN1420_c4_g1_i3	1	1549	67	502	32.408	5.95997	37.2	255
TRINITY_DN1474_c0_g1_i1	1	1451	261	818	56.3749	26.3846	38.4	255
TRINITY_DN1462_c3_g1_i7	1	1505	309	1058	70.299	29.8605	37.3	255
TRINITY_DN1461_c1_g1_i1	1	7202	101	2282	31.6856	1.95793	38.1	30.3
TRINITY_DN1461_c1_g1_i3	1	7372	122	2498	33.885	2.33844	37.4	71.1
TRINITY_DN1428_c0_g1_i2	1	3490	428	1091	31.2607	8.50774	37.6	121
TRINITY_DN1405_c0_g1_i3	1	1922	27	310	16.129	1.90479	38.1	255
TRINITY_DN1409_c0_g1_i2	1	3495	52	764	21.8598	1.88212	36.9	240
TRINITY_DN1440_c0_g1_i3	1	8636	649	3199	37.0426	10.926	38.2	255
TRINITY_DN1481_c0_g1_i3	1	1971	304	1304	66.1593	22.69	38.2	255
TRINITY_DN3393_c0_g1_i2	1	406	5	22	5.41872	0.251232	32.1	255
TRINITY_DN3367_c0_g1_i1	1	2257	118	518	22.9508	3.17014	37.3	75.6
TRINITY_DN3367_c0_g1_i3	1	2260	140	562	24.8673	4.81062	37.1	109
TRINITY_DN3368_c0_g1_i5	1	2291	118	1129	49.2798	7.22174	37.4	179
TRINITY_DN3368_c0_g1_i3	1	2163	91	988	45.6773	5.9607	37.8	151
TRINITY_DN3322_c0_g1_i6	1	3037	845	2000	65.8545	39.2068	38	253
TRINITY_DN1839_c0_g1_i9	1	9946	348	2395	24.08	5.02845	37.7	255
TRINITY_DN1848_c0_g1_i5	1	2482	268	1431	57.6551	15.0882	37.8	216
TRINITY_DN1814_c0_g1_i1	1	2354	78	638	27.1028	4.81988	38.3	128
TRINITY_DN1814_c0_g1_i2	1	1714	120	706	41.1902	10.3116	38	164
TRINITY_DN1806_c2_g1_i10	1	8585	922	4227	49.237	15.5911	38	255
TRINITY_DN1815_c0_g1_i17	1	1837	15	665	36.2003	0.845944	35.2	238
TRINITY_DN1813_c0_g1_i5	1	5935	155	1498	25.2401	3.66133	37.7	255
TRINITY_DN1890_c0_g1_i5	1	5071	96	1185	23.3682	2.50168	37.8	205
TRINITY_DN1890_c0_g1_i3	1	3309	134	1198	36.2043	5.61741	37.8	207
TRINITY_DN1863_c0_g1_i4	1	4137	188	1099	26.5651	6.48803	37.7	255
TRINITY_DN5262_c0_g2_i4	1	943	41	297	31.4952	6.30965	37.9	255
TRINITY_DN5243_c0_g1_i5	1	7576	965	1448	19.113	4.54026	36.4	2.11
TRINITY_DN5243_c0_g1_i6	1	2621	14	513	19.5727	0.630294	36.2	36.4
TRINITY_DN5243_c0_g1_i7	1	7569	960	1555	20.5443	4.73616	36.3	5.58
TRINITY_DN5265_c0_g1_i7	1	5967	483	3397	56.9298	11.7231	38	20.6
TRINITY_DN5265_c0_g1_i11	1	5888	943	3071	52.1569	12.2987	37.9	38.7
TRINITY_DN5225_c0_g1_i5	1	5106	595	2193	42.9495	16.6586	37.8	255
TRINITY_DN6813_c0_g1_i6	1	1112	247	831	74.7302	32.5962	38.2	170
TRINITY_DN6813_c0_g1_i3	1	1412	137	838	59.3484	14.3888	38	130
TRINITY_DN439_c0_g1_i4	1	5549	290	2397	43.197	7.36151	37.6	163
TRINITY_DN439_c0_g1_i2	1	3784	196	2103	55.5761	7.16173	37.3	129
TRINITY_DN468_c0_g1_i3	1	1210	241	884	73.0579	29.4322	38.3	218
TRINITY_DN468_c0_g2_i2	1	3208	149	1317	41.0536	6.4442	38.3	181
TRINITY_DN437_c0_g1_i8	1	907	39	276	30.43	6.0452	37.3	255
TRINITY_DN471_c0_g1_i3	1	3340	444	1942	58.1437	18.75	37.7	255
TRINITY_DN447_c0_g1_i8	1	2231	640	1431	64.1416	40.6293	38.3	246
TRINITY_DN438_c0_g1_i4	1	716	118	613	85.6145	23.7025	37.4	255
TRINITY_DN478_c0_g1_i6	1	1267	188	32	2.52565	3.21231	36	63.8
TRINITY_DN411_c0_g1_i2	1	2629	297	1494	56.8277	14.5112	37	242
TRINITY_DN489_c0_g1_i3	1	962	95	323	33.5759	5.8815	35.8	177
TRINITY_DN405_c0_g1_i3	1	2657	54	676	25.4422	2.45427	37.4	255
TRINITY_DN430_c2_g1_i5	1	3497	341	1831	52.3592	14.0206	37.7	255
TRINITY_DN408_c1_g1_i6	1	3342	1483	2246	67.2053	25.9216	36.9	141
TRINITY_DN408_c1_g1_i1	1	2830	228	1646	58.1625	11.5403	37.9	108
TRINITY_DN445_c0_g1_i4	1	14537	963	4606	31.6847	9.55892	37.8	255
TRINITY_DN476_c1_g1_i2	1	1091	241	751	68.8359	27.4867	38.2	236
TRINITY_DN491_c0_g1_i2	1	2073	189	1085	52.3396	13.0492	37.6	255
TRINITY_DN404_c0_g1_i14	1	2086	512	1575	75.5034	35.2421	38.1	255
TRINITY_DN473_c0_g1_i3	1	2113	119	694	32.8443	7.47894	38.3	251
TRINITY_DN49550_c0_g1_i3	1	1359	276	985	72.4798	29.2811	38.2	255
TRINITY_DN3199_c0_g1_i2	1	2492	212	1039	41.6934	9.437	37.2	200
TRINITY_DN3150_c1_g1_i8	1	4917	530	2223	45.2105	15.3339	37.9	255
TRINITY_DN3148_c0_g1_i5	1	2815	204	1081	38.4014	10.6877	38.4	255
TRINITY_DN3192_c0_g3_i2	1	2655	61	524	19.7363	3.21996	37.3	255
TRINITY_DN3137_c0_g1_i1	1	523	1	60	11.4723	0.114723	31.8	255
TRINITY_DN10156_c0_g1_i1	1	416	26	203	48.7981	8.59856	38.3	255
TRINITY_DN11745_c0_g1_i6	1	4042	1081	3666	90.6977	39.3498	37.9	254
TRINITY_DN1701_c0_g1_i1	1	2229	306	1440	64.603	20.1669	37.9	120
TRINITY_DN1701_c0_g1_i3	1	3241	178	1598	49.3058	7.95002	38.3	7.16
TRINITY_DN1772_c0_g1_i1	1	2895	169	539	18.6183	8.62211	38.2	255
TRINITY_DN1794_c0_g1_i2	1	1317	170	731	55.5049	18.997	38.1	255
TRINITY_DN1783_c0_g1_i10	1	746	142	595	79.7587	27.878	38.4	255
