#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
TRINITY_DN2211_c0_g1_i6	1	5427	432	2124	39.1376	7.61913	36.7	0
TRINITY_DN2211_c0_g1_i7	1	5439	542	2305	42.3791	9.55139	36.8	49.9
TRINITY_DN2211_c0_g1_i1	1	1183	69	879	74.3026	5.09637	37.3	103
TRINITY_DN2240_c0_g1_i4	1	3262	478	2320	71.122	14.325	37.2	71.5
TRINITY_DN2240_c0_g1_i10	1	3163	484	2301	72.7474	15.0032	37.4	52.2
TRINITY_DN2246_c1_g1_i4	1	2815	1047	2549	90.5506	35.4149	37.2	255
TRINITY_DN2257_c0_g1_i1	1	2722	640	2291	84.1661	23.0121	37.4	255
TRINITY_DN2292_c0_g1_i5	1	2640	66	591	22.3864	2.45795	36.9	65.7
TRINITY_DN2292_c0_g1_i2	1	2640	54	786	29.7727	1.88106	37.6	0
TRINITY_DN2223_c0_g1_i1	1	1766	441	797	45.1302	9.19026	36.7	74.6
TRINITY_DN33004_c0_g1_i1	1	245	77	244	99.5918	31.0816	37.7	255
TRINITY_DN4635_c0_g1_i5	1	1638	881	1590	97.0696	52.8199	37	255
TRINITY_DN4019_c0_g1_i3	1	3436	138	1419	41.298	3.54627	37	253
TRINITY_DN1420_c4_g1_i3	1	1549	175	883	57.0045	10.5365	36.7	255
TRINITY_DN1474_c0_g1_i1	1	1451	370	1062	73.1909	24.8167	37.4	255
TRINITY_DN1462_c3_g1_i7	1	1505	538	1030	68.4385	34.5442	37.1	255
TRINITY_DN1461_c1_g1_i1	1	7202	246	2662	36.962	3.35018	37.4	38.4
TRINITY_DN1461_c1_g1_i3	1	7372	199	2108	28.5947	2.56796	37.3	14.1
TRINITY_DN1428_c0_g1_i2	1	3490	1071	2798	80.1719	24.2774	36.3	213
TRINITY_DN1405_c0_g1_i3	1	1922	337	1222	63.5796	17.1925	37.5	255
TRINITY_DN1409_c0_g1_i2	1	3495	487	1968	56.309	13.3989	36.9	253
TRINITY_DN1440_c0_g1_i3	1	8636	1466	4599	53.2538	16.4862	37.3	255
TRINITY_DN1481_c0_g1_i3	1	1971	199	1361	69.0512	10.0005	37.6	255
