#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tig00000002	1	50776	1904	18028	35.505	5.44716	38	0.268
tig00000004	1	77331	1934	26628	34.4338	3.54589	38	0
tig00000005	1	39781	529	9872	24.8159	1.90335	37.9	0
tig00000007	1	33174	2529	16508	49.7619	11.158	38.1	0.202
tig00000008	1	55332	991	13460	24.3259	2.57511	38	1.03
tig00000009	1	38689	724	13180	34.0665	2.67727	38	0
tig00000010	1	29070	186	6576	22.6213	0.586309	38	1.37
tig00000011	1	46289	566	7778	16.8031	1.75917	38.1	3.6
tig00000012	1	35552	77	2225	6.25844	0.272165	36.6	0
tig00000014	1	27807	615	7417	26.6731	3.20801	38	0.415
tig00000015	1	61966	1864	43815	70.7081	3.77476	38.2	1.37
tig00000016	1	31431	507	7112	22.6273	2.27587	38	1.51
tig00000017	1	36579	101	4419	12.0807	0.178053	37.5	0
tig00000018	1	30178	469	6124	20.2929	2.1968	37.6	7.61
tig00000019	1	346315	9379	81879	23.6429	3.91818	37.9	122
tig00000020	1	45476	1933	19954	43.8781	6.20121	38.1	0
tig00000021	1	39180	811	8181	20.8806	2.93867	38	0
tig00000022	1	32477	1177	13331	41.0475	5.03698	37.8	8.67
tig00000023	1	36438	191	4465	12.2537	0.727373	37.5	0
tig00000024	1	246330	9763	71117	28.8706	5.71229	38.1	35.3
tig00000025	1	37264	2506	24815	66.5924	9.84264	38.1	1.12
tig00000026	1	38547	1938	19408	50.3489	7.05819	38	1.05
tig00000027	1	43855	1763	16826	38.3673	5.88036	38.1	0
tig00000028	1	51679	2246	19186	37.1253	6.3723	38.1	0.114
tig00000029	1	39721	873	13882	34.9488	3.19113	38.2	0.584
tig00000030	1	36874	489	5586	15.1489	1.83473	37.6	0
tig00000031	1	49119	1761	20959	42.6698	5.24787	38	0
tig00000034	1	21274	700	2788	13.1052	4.78645	38	0.729
tig00000035	1	32767	308	5163	15.7567	1.30442	37.7	0
tig00000036	1	203863	7714	66458	32.5993	5.48714	38.1	115
tig00000037	1	43879	1730	16190	36.8969	5.58035	37.7	0
tig00000038	1	94962	611	13635	14.3584	0.871159	37.7	78.5
tig00000039	1	37438	1229	11528	30.7922	4.7982	38.1	0.415
tig00000040	1	30998	656	6843	22.0756	3.07791	37.9	67.2
tig00000041	1	34310	816	10089	29.4054	3.26365	37.8	0
tig00000042	1	32412	63	1794	5.53499	0.217358	37.1	4.05
tig00000043	1	31644	1184	7938	25.0853	5.46372	37.9	0
tig00000044	1	44623	1117	21018	47.1013	3.59519	37.9	0.457
tig00000045	1	43445	2153	19170	44.1248	7.21869	38	0
tig00000046	1	39603	1150	19442	49.0922	4.21897	38	0.443
tig00000047	1	32704	903	9327	28.5194	4.02718	38	0
tig00000048	1	35785	1269	9232	25.7985	5.21693	38.2	12.5
tig00000049	1	37583	851	11347	30.1918	3.28433	38	0
tig00000050	1	24295	1225	9619	39.5925	7.37111	38.1	0
tig00000051	1	36121	2327	12593	34.8634	9.45743	38	0.11
