#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tig00000002	1	50776	2443	21243	41.8367	4.67138	37.3	0.209
tig00000004	1	77331	2634	26409	34.1506	3.28551	37.3	0.0968
tig00000005	1	39781	466	10938	27.4955	1.10678	37.1	0
tig00000007	1	33174	1388	17509	52.7793	4.06746	37.3	0.735
tig00000008	1	55332	1110	16350	29.5489	1.93422	37.3	0.919
tig00000009	1	38689	1157	16127	41.6837	2.913	37.3	0.22
tig00000010	1	29070	78	3761	12.9377	0.2656	37.8	0
tig00000011	1	46289	920	10561	22.8154	1.91596	37.3	14.1
tig00000012	1	35552	236	4037	11.3552	0.63372	37.2	0
tig00000014	1	27807	539	9337	33.5779	1.87021	37.4	0
tig00000015	1	61966	1150	38141	61.5515	1.8184	37.8	0.887
tig00000016	1	31431	584	9340	29.7159	1.77506	37.1	0
tig00000017	1	36579	40	1937	5.29539	0.0972963	37.6	19.1
tig00000018	1	30178	596	7565	25.0679	1.90977	37.2	0.428
tig00000019	1	346315	13703	128575	37.1266	3.83704	37.2	120
tig00000020	1	45476	2270	27313	60.0603	4.84029	37.1	0.225
tig00000021	1	39180	1406	12481	31.8555	3.43346	37.1	0
tig00000022	1	32477	1849	16320	50.2509	5.42569	37.1	13.8
tig00000023	1	36438	697	11070	30.3804	1.84497	37.2	0.732
tig00000024	1	246330	11131	93774	38.0684	4.37176	37.3	40.6
tig00000025	1	37264	3403	28436	76.3096	8.88394	37.4	0.3
tig00000026	1	38547	1424	20290	52.637	3.59434	37.5	1.07
tig00000027	1	43855	968	18783	42.8298	2.15082	37.4	0.263
tig00000028	1	51679	1619	22473	43.4857	3.03731	37.3	0.158
tig00000029	1	39721	1437	18867	47.4988	3.48697	37.3	0.355
tig00000030	1	36874	563	8557	23.2061	1.43863	37.2	0
tig00000031	1	49119	2827	28965	58.969	5.61933	37.3	0
tig00000034	1	21274	796	3631	17.0678	3.67002	37	0
tig00000035	1	32767	870	9482	28.9377	2.53545	37.1	0
tig00000036	1	203863	8066	81228	39.8444	3.85901	37.5	107
tig00000037	1	43879	3052	21897	49.9031	6.68258	37	0
tig00000038	1	94962	1398	23523	24.771	1.3851	37	95.8
tig00000039	1	37438	2949	14208	37.9507	7.63387	36.7	0
tig00000040	1	30998	1031	11888	38.3509	3.21401	37.1	32.9
tig00000041	1	34310	1338	15359	44.7654	3.76604	37.4	0
tig00000042	1	32412	227	3885	11.9863	0.641583	37	0
tig00000043	1	31644	1177	11068	34.9766	3.60789	37.2	0
tig00000044	1	44623	934	19464	43.6188	2.01342	37.3	1.37
tig00000045	1	43445	2828	21004	48.3462	6.29198	37.2	0.18
tig00000046	1	39603	797	16234	40.9918	1.9244	37.1	0.64
tig00000047	1	32704	1049	12636	38.6375	3.09763	37.3	0
tig00000048	1	35785	1116	11632	32.5052	3.00059	37.5	13.7
tig00000049	1	37583	1448	15134	40.2682	3.71905	37.3	0.176
tig00000050	1	24295	1000	10529	43.3381	4.00692	37.2	0
